Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Senior Data Analyst,USD 68K - USD 107K,4.1,Gartner,"Irving, TX",10000+ Employees,1979,Company - Public,Business Consulting,Management & Consulting,$1 to $5 billion (USD)
Staff Technical Data Analyst,USD 118K - USD 161K ,4.4,Intuit,"Mountain View, CA",10000+ Employees,1983,Company - Public,Software Development,Information Technology,$10+ billion (USD)
"Senior Manager, Data and People Analytics",USD 70K - USD 140K,4.0,American Express Global Business Travel,United States,10000+ Employees,1915,Company - Public,Travel Agencies,Hotels & Travel Accommodation,Unknown / Non-Applicable
Data Analyst,"Technical proficiency in database design development, data models, data marts as well as techniques for data mining an",2.8,Talent Inc.,Remote,2.8,,,,,
"Data Scientist, Analytics",USD 134K - USD 204K,3.9,Meta,"Fremont, CA",10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
Data Scientist I,USD 115K - USD 140K,3.6,Project Management Institute,United States,501 to 1000 Employees,1969,Nonprofit Organization,Membership Organizations,Management & Consulting,Unknown / Non-Applicable
"Staff Data Scientist, AI",USD 202K - USD 316K,4.2,Asana,"San Francisco, CA",1001 to 5000 Employees,2008,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Science Engineer,USD 103K - USD 157K,4.1,McKinstry,"Denver, CO",1001 to 5000 Employees,1960,Company - Private,Construction,"Construction, Repair & Maintenance Services",$500 million to $1 billion (USD)
Senior Data Scientist,USD 93K - USD 250K,3.6,Roku,"San Jose, CA",1001 to 5000 Employees,2002,Company - Public,Information Technology Support Services,Information Technology,$500 million to $1 billion (USD)
Reporting Analyst,"An earned bachelor’s degree in mathematics, actuarial, computer science or finance is preferred. 1+ years of experience in PBM industry ",4.1,OneDigital,Remote,4.0,,,,,
Data Scientist,USD 174K - USD 175K,4.1,Salesforce,"Seattle, WA",10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
Data Analyst,USD 66K - USD 106K,3.6,Peraton,United States,10000+ Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD)
Data Scientist,USD 140K - USD 171K ,4.5,Colsh Consultants,"Santa Clara, CA",Unknown,2005,Unknown,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Scientist I,Effectively communicate insights and recommendations to both technical and non-technical leaders and business customers/partners including prep,3.0,Murphy USA,"El Dorado, AR",3.0,,,,,
Data Scientist - (Hybrid Schedule),USD 100K - USD 142K ,3.3,Serco North America,"Herndon, VA",10000+ Employees,1987,Company - Public,HR Consulting,Human Resources & Staffing,$5 to $10 billion (USD)
Senior Data Engineer,USD 120K - USD 148K ,4.3,Mastercard,"Atlanta, GA",10000+ Employees,1966,Company - Public,Financial Transaction Processing,Financial Services,Unknown / Non-Applicable
Senior Data Analyst,USD 125K - USD 140K,3.7,Dior,United States,10000+ Employees,1947,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$1 to $5 billion (USD)
2024 BNY Mellon Analyst Program - Engineering (Data Science),USD 75K - USD 100K,3.6,BNY Mellon,"Lake Mary, FL",10000+ Employees,1784,Company - Public,Investment & Asset Management,Financial Services,$10+ billion (USD)
Data Analyst 2,USD 58K - USD 83K ,3.8,Kiewit Corporation,"Lenexa, KS",10000+ Employees,1884,Company - Private,Construction,"Construction, Repair & Maintenance Services",$10+ billion (USD)
People Analytics Consultant,USD 112K - USD 154K,4.1,Applied Materials,"Santa Clara, CA",10000+ Employees,1967,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD)
Data Scientist I,USD 63K - USD 94K ,3.9,The University of Pittsburgh,"Pittsburgh, PA",10000+ Employees,1787,College / University,Colleges & Universities,Education,Less than $1 million (USD)
Data Analyst,USD 60K - USD 80K,4.2,Climate Policy Initiative,"San Francisco, CA",51 to 200 Employees,2009,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,Unknown / Non-Applicable
Data Review Scientist 1,USD 50K,3.4,Charles River Laboratories,"Newark, DE",10000+ Employees,1947,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 billion (USD)
Data Scientist,USD 72K - USD 108K,3.5,Denver Health,"Denver, CO",5001 to 10000 Employees,1860,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$100 to $500 million (USD)
Data Science,"Candidates should have experience with using data analysis tools such as Hive, PySpark, Apache Pig, Hadoop, SQL, QlikV",3.5,Miracle Software Systems,Michigan,3.6,,,,,
Data Visualization Analyst,USD 64K - USD 92K ,,PROSOCO,"Lawrence, KS",Unknown,--,Company - Private,Chemical Manufacturing,Manufacturing,Unknown / Non-Applicable
Data Scientist,USD 65K - USD 160K,4.3,NinjaHoldings,Remote,51 to 200 Employees,2017,Company - Private,Banking & Lending,Financial Services,Unknown / Non-Applicable
Staff Data Scientist,USD 174K - USD 216K ,4.4,Intuit,"Mountain View, CA",10000+ Employees,1983,Company - Public,Software Development,Information Technology,$10+ billion (USD)
Data Scientist,"Work closely across our data teams including data engineering, analytics engineering and busines",3.4,Trusted Media Brands,Remote,3.4,,,,,
Senior Research Data Analyst,USD 67K - USD 92K ,3.7,Cystic Fibrosis Foundation,"Bethesda, MD",501 to 1000 Employees,1955,Nonprofit Organization,Grantmaking & Charitable Foundations,Nonprofit & NGO,$100 to $500 million (USD)
Senior Data Scientist - Marketing Science,USD 136K - USD 182K,3.8,Disney Direct to Consumer,"New York, NY",10000+ Employees,1923,Company - Public,Film Production,Media & Communication,$10+ billion (USD)
Trading Analyst,USD 75K - USD 112K,4.1,DraftKings,"Boston, MA",1001 to 5000 Employees,2012,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Data Scientist,USD 143K - USD 169K,4.1,Amgen,"Thousand Oaks, CA",10000+ Employees,1980,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
Data Analytics Analyst 2,USD 75K,3.9,IQVIA,Remote,10000+ Employees,2017,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
Quality Systems Data Science Co-Op- Summer 2024,USD 80K - USD 105K ,4.2,Johnson & Johnson,"Cincinnati, OH",10000+ Employees,1887,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
Senior Data Analyst,USD 93K - USD 133K ,3.6,Roku,"Austin, TX",1001 to 5000 Employees,2002,Company - Public,Information Technology Support Services,Information Technology,$500 million to $1 billion (USD)
Data Scientist Promotional Writing (L5) - Content and Studio,USD 130K - USD 199K ,4.1,Netflix,"Los Gatos, CA",5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD)
Senior Data Scientist,USD 120K - USD 156K ,3.9,Nestlé USA,"Arlington, VA",1001 to 5000 Employees,1866,Subsidiary or Business Segment,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD)
Research Data Analyst,USD 74K - USD 111K ,4.1,University of California San Francisco,"San Francisco, CA",10000+ Employees,1864,College / University,Colleges & Universities,Education,$25 to $100 million (USD)
Data Scientist,USD 99K - USD 145K ,4.1,World Bank Group,"Washington, DC",10000+ Employees,--,Nonprofit Organization,--,--,$1 to $5 billion (USD)
Analytics & Data Science,USD 88K - USD 124K ,,,"Atlanta, GA",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
Data Scientist,"Model Development: Apply statistical and machine learning techniques to develop predictive models, classification algorithms, regression models,",3.5,Kyla,Remote,3.5,,,,,
Marketing Data Analyst,USD 25.00 - USD 35.00 Per Hour,2.0,"Clutch Group, Inc.",Remote,1 to 50 Employees,2018,Company - Private,HR Consulting,Human Resources & Staffing,$1 to $5 million (USD)
Senior Data Science and Visualization Engineer,USD 81K - USD 118K ,3.3,Fulton Bank,"Lancaster, PA",1001 to 5000 Employees,1882,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
Senior Data Scientist,"Experience in state of art NLP models such as transformers etc. Statistics, Data Science, Mathematics, Operations Research, Computer Scie",4.1,Fractal Analytics,California,4.1,,,,,
"Data Scientist, Software Programs","On the System Quality team, we are responsible for performing ad hoc data analysis, development and maintenance of distributed data pipelines, an",4.2,Apple,"Cupertino, CA",4.2,,,,,
DATA SCIENCE MANAGER,USD 110K - USD 153K ,3.7,Micron,"Boise, ID",10000+ Employees,1978,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Data Scientist Co-Op,USD 107K - USD 139K ,3.9,Bayer,"Creve Coeur, MO",10000+ Employees,1863,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
Data Science Developer,USD 82K - USD 121K ,3.9,KBR,"Boston, MA",10000+ Employees,1901,Company - Public,Aerospace & Defense,Aerospace & Defense,$5 to $10 billion (USD)
Senior Data Analyst,USD 85K - USD 105K,4.3,New York University,"New York, NY",10000+ Employees,1831,College / University,Colleges & Universities,Education,$5 to $10 billion (USD)
Data Science Analyst (Hybrid - 3/2 Work Schedule),USD 74K - USD 108K ,3.7,Castleton Commodities International,"Stamford, CT",201 to 500 Employees,1997,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable
DATA ANALYST SPECIALIST,USD 88K - USD 106K,3.9,State of Rhode Island,"Providence, RI",1001 to 5000 Employees,1636,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable
Analytics Scientist,USD 93K - USD 125K ,4.0,Ford Motor Company,"Dearborn, MI",10000+ Employees,1903,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD)
Data Scientist,USD 102K - USD 136K ,3.5,Kraft Heinz Company,"Chicago, IL",10000+ Employees,2015,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD)
Junior Data Scientist,USD 78K - USD 119K ,2.9,Soothsayer Analytics,"Livonia, MI",Unknown,--,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Scientist,"Identify business problems, select appropriate performance metric, develop data science modeling/algorithmic approach, and evaluate success of",4.1,Fractal Analytics,California,4.1,,,,,
Mid-Level Data Scientist,"3 to 8 years of experience in modeling & simulation, statistical analysis, quantitative risk assessment, data science, or",3.9,Battelle,"Columbus, OH",3.9,,,,,
Analytics Associate,USD 71K - USD 99K ,4.3,SysIntelli,"San Diego, CA",51 to 200 Employees,--,Company - Private,Accounting & Tax,Financial Services,$1 to $5 million (USD)
Data Scientist II,2-3 years of professional experience in a relevant field. Engage in ongoing design of Leverege’s ML solutions as we approach new problems and a,4.1,Leverege,Remote,4.1,,,,,
DATA SCIENCE CONSULTANT BOSTON,USD 110K - USD 150K ,3.9,managementsolutions,"Boston, MA",1001 to 5000 Employees,2002,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD)
Data Scientist,USD 81K - USD 177K,5.0,Brik Partners,Remote,Unknown,--,Company - Public,--,--,Unknown / Non-Applicable
Data Scientist,USD 132K - USD 172K,4.1,U.S. Department of Justice,"Washington, DC",10000+ Employees,1870,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable
Senior Data Scientist,USD 112K - USD 218K,4.3,Microsoft,"Cambridge, MA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Data Science Analyst (Office of Technology and Data Science),USD 58K,4.0,The Urban Institute,United States,501 to 1000 Employees,1968,Nonprofit Organization,Grantmaking & Charitable Foundations,Nonprofit & NGO,$25 to $100 million (USD)
"Data Scientist, Data Strategy and Analytics",USD 144K - USD 288K,3.8,Abbott Laboratories,"Alameda, CA",10000+ Employees,1888,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
Data Scientist,USD 95K - USD 150K,3.2,"Stride, Inc.",Virginia,5001 to 10000 Employees,1999,Company - Public,Primary & Secondary Schools,Education,$500 million to $1 billion (USD)
"Staff Data Scientist, Economics",USD 170K - USD 314K,4.3,Duolingo,"Pittsburgh, PA",201 to 500 Employees,2011,Company - Public,Internet & Web Services,Information Technology,$100 to $500 million (USD)
Data Science Lead Analyst,USD 160K - USD 163K,3.9,Citi,"Irving, TX",10000+ Employees,1812,Company - Public,Investment & Asset Management,Financial Services,$10+ billion (USD)
Data Analyst,Some experience with programming – e.g Python or equivalent languages and tools used in data science. Responsibilities include analysing data f,4.0,Propel Together,United States,4.0,,,,,
Senior Data Scientist / Applied Statistician,USD 142K - USD 181K ,3.5,LaunchDarkly,"Oakland, CA",501 to 1000 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
"Data Engineer, Analytics","Experience driving business impact through data architecture. Harness your expertise in pattern recognition, trend analysis, and machine lear",4.6,Chainlink Labs,Remote,4.6,,,,,
Staff Data Scientist,USD 135K - USD 185K ,3.4,Airwallex,"San Francisco, CA",1001 to 5000 Employees,2015,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Data Scientist - Finance,USD 176K - USD 205K,4.4,"Gametime United, Inc.",Remote,201 to 500 Employees,2013,Company - Private,Ticket Sales,"Arts, Entertainment & Recreation",$25 to $100 million (USD)
Data Scientist,USD 126K - USD 208K,4.2,"The Travelers Companies, Inc.","Atlanta, GA",10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
"Data Scientist, Marketing",USD 171K - USD 258K,4.2,Asana,"San Francisco, CA",1001 to 5000 Employees,2008,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist,USD 91K - USD 126K ,4.0,Bentley Systems,"Exton, PA",1001 to 5000 Employees,1984,Company - Public,Software Development,Information Technology,$500 million to $1 billion (USD)
Associate Data Scientist,USD 73K - USD 95K ,3.7,TXU Retail Services Company,"Irving, TX",5001 to 10000 Employees,1996,Subsidiary or Business Segment,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable
Tableau Developer,USD 56.00 Per Hour,,,Remote,,,,,,
Senior Data Scientist,USD 116K - USD 148K ,4.0,Universal Orlando Resort,"Orlando, FL",10000+ Employees,1987,Subsidiary or Business Segment,Hotels & Resorts,Hotels & Travel Accommodation,$1 to $5 billion (USD)
Data Scientist I,USD 70K - USD 85K,4.0,Trusaic,"Los Angeles, CA",51 to 200 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist,USD 93K - USD 133K ,4.0,Hyperspace Ventures,"Durham, NC",1 to 50 Employees,2017,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Data Engineer,USD 71K - USD 88K,2.5,AnitaB.org,Remote,51 to 200 Employees,--,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$5 to $25 million (USD)
Data Scientist,USD 93K - USD 125K ,3.9,BOEING,"Berkeley, MO",10000+ Employees,1916,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Senior Data Analyst,USD 85K - USD 140K,4.4,ServiceNow,"San Diego, CA",10000+ Employees,2004,Company - Public,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD)
Operations Research Consultant/Senior Consultant - Data Science,USD 86K - USD 115K ,3.7,American Airlines,"Dallas, TX",10000+ Employees,1926,Company - Public,"Airlines, Airports & Air Transportation",Transportation & Logistics,$10+ billion (USD)
Data Visualization Specialist: US Decision,"Influence upstream data model design, drive Key Performance Indicator definitions and develop your own data solut",4.2,Apple,"Cupertino, CA",4.2,,,,,
Data Science Technical Fellow,USD 75K - USD 113K ,3.9,Patterson-UTI,"Houston, TX",1001 to 5000 Employees,--,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$500 million to $1 billion (USD)
Data Scientist,"An ideal candidate will be comfortable working on analysis in ambiguous conditions, enjoy working across disparate questions and data sets",3.9,eimagine,United States,3.9,,,,,
Research Data Scientist,USD 79K - USD 145K,4.1,"University of California, Riverside","Riverside, CA",1001 to 5000 Employees,--,College / University,Colleges & Universities,Education,$100 to $500 million (USD)
"Data Scientist, Product",USD 190K - USD 246K,3.8,Clubhouse,Remote,Unknown,--,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Data Scientist (Mid-Level),"4 years of experience in a predictive analytics or data analysis or advanced degree (e.g., Master’s, PhD) in mathematics, computer scienc",3.4,USAA,"San Antonio, TX",3.3,,,,,
Senior Data Scientist,USD 129K - USD 151K,3.5,TARGET,"Brooklyn Park, MN",10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail & Wholesale,$10+ billion (USD)
Data Science Fellow,USD 98K - USD 134K ,4.3,University of Maryland,"College Park, MD",10000+ Employees,1856,College / University,Colleges & Universities,Education,$1 to $5 billion (USD)
"Staff Data Scientist, Whole Page Optimization",USD 135K - USD 199K ,3.8,Pinterest,"San Francisco, CA",1001 to 5000 Employees,2010,Company - Public,Internet & Web Services,Information Technology,$100 to $500 million (USD)
Statistical Analyst - Medical Devices,USD 66K - USD 132K,3.8,Abbott Laboratories,"Santa Clara, CA",10000+ Employees,1888,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
Statistician 2 - Data Manager and Statistician,USD 60K - USD 84K ,4.2,Yale University,"George, IA",10000+ Employees,1701,Nonprofit Organization,Colleges & Universities,Education,$1 to $5 billion (USD)
Senior Data Analyst,USD 88K - USD 127K ,3.6,Western Digital,"Irvine, CA",10000+ Employees,1970,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Statistician,USD 62K - USD 94K ,3.3,MercyOne,"Des Moines, IA",Unknown,2005,Subsidiary or Business Segment,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
Artificial Intelligence (AI) Trainer,USD 111K - USD 182K ,,Juji,"San Jose, CA",1 to 50 Employees,--,Company - Public,--,--,Less than $1 million (USD)
Senior Marketing Data Analyst,USD 101K - USD 195K,4.3,Microsoft,"Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Early Career Statistician,"Eighty to ninety percent of daily work is at a computer, and the remainder of the position-time would be in project planning meetings and co",4.1,RTI International,United States,4.1,,,,,
Senior Data Analyst,USD 111K - USD 147K ,5.0,Hypersonix,"San Jose, CA",1 to 50 Employees,2019,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
Adjunct/Part Time Faculty; School of Data Science,USD 87K - USD 122K ,4.2,UNC Charlotte,"Charlotte, NC",1001 to 5000 Employees,1949,College / University,Colleges & Universities,Education,$100 to $500 million (USD)
Data Scientist,USD 6K - USD 9K,2.8,Department of Human Services,"Salem, OR",1001 to 5000 Employees,--,Government,--,--,Unknown / Non-Applicable
Senior Data Scientist,USD 99K - USD 145K ,3.8,XO,"Fort Lauderdale, FL",Unknown,--,Company - Private,"Airlines, Airports & Air Transportation",Transportation & Logistics,Unknown / Non-Applicable
SCHEDULING SYSTEMS ASSOCIATE (TRANSPORTATION OPERATIONS DATA SCIENCE SPECIALIST),USD 61K - USD 76K,3.6,Los Angeles County Metropolitan Transportation Authority,"Los Angeles, CA",5001 to 10000 Employees,1964,Government,Taxi & Car Services,Transportation & Logistics,$100 to $500 million (USD)
Data Engineer,USD 106K - USD 211K,4.4,Adobe,"Waltham, MA",10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Lead Data Scientist,USD 119K - USD 156K ,3.7,Bose,"Framingham, MA",5001 to 10000 Employees,1964,Company - Private,Consumer Product Manufacturing,Manufacturing,$1 to $5 billion (USD)
Data Scientist II,You have a degree in a STEM-related field and at least 3 years of commercial experience in a data science role. Creating a culture you,3.2,Spring Health,Remote,3.2,,,,,
Lead Data Scientist,This person advises executives to develop functional strategies (often segment specific) on matters of significance and exercises independen,3.9,Humana,Remote,3.9,,,,,
Data Analytics Analyst 2,USD 75K,3.9,IQVIA,"Northborough, MA",10000+ Employees,2017,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
Applied Scientist II,USD 94K - USD 183K,4.3,Microsoft,"Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Data Scientist,"The Center for Data Science and AI at RTI International, one of the nation’s largest independent, nonprofit scientific research organizations, is ",4.1,RTI International,North Carolina,4.1,,,,,
Junior Data Scientist,USD 97K - USD 142K ,4.2,Logistics Management Institute,"Washington, DC",1001 to 5000 Employees,1961,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD)
"Analyst/Senior Analyst, Crew Strategy and Intelligence",USD 77K - USD 105K ,3.7,American Airlines,"Dallas, TX",10000+ Employees,1926,Company - Public,"Airlines, Airports & Air Transportation",Transportation & Logistics,$10+ billion (USD)
Data Engineering Lead,USD 122K - USD 168K ,4.3,Mars,"Newark, NJ",10000+ Employees,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD)
Associate Data Scientist,USD 70K - USD 104K ,4.7,Max Planck Florida,"Jupiter, FL",51 to 200 Employees,--,Nonprofit Organization,Grantmaking & Charitable Foundations,Nonprofit & NGO,$5 to $25 million (USD)
Mid Level Data Analyst,USD 86K - USD 138K,3.6,Peraton,United States,10000+ Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD)
Data Scientist II,USD 111K - USD 139K ,4.0,Klaviyo,"Boston, MA",1001 to 5000 Employees,2012,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Data Scientist Associate,USD 72K - USD 144K,4.0,Tencent,"Palo Alto, CA",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Data Engineer I,USD 105K - USD 173K,4.2,"The Travelers Companies, Inc.","Hartford, CT",10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
Data Scientist II,USD 83K - USD 112K ,4.1,bioMerieux SA,"Salt Lake City, UT",10000+ Employees,1963,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 billion (USD)
RESEARCH DATA ANALYST I,USD 4K - USD 7K,4.4,Department of Forestry & Fire Protection,United States,5001 to 10000 Employees,--,Government,Municipal Agencies,Government & Public Administration,Unknown / Non-Applicable
"Senior Scientist I/II, Genomics Data Science",USD 98K - USD 129K ,3.9,ABBVIE,"Crystal Lake, IL",10000+ Employees,2013,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
"Associate, Finance Strategy & Analysis, Content",USD 99K - USD 159K ,4.1,Netflix,"Los Angeles, CA",5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD)
Data Scientist II - Hybrid,USD 95K - USD 136K,4.1,Radian,United States,1001 to 5000 Employees,1977,Company - Public,Insurance Carriers,Insurance,$1 to $5 billion (USD)
Junior Data Annotation Specialist,"Active Driving license and good understanding of driving / traffic rules, signs and regulations (for this role it's a must as you'll need to work ",4.9,AllStars-IT,Georgia,4.9,,,,,
Data Engineer (mid-level),"Proficiency in data engineering concepts, including ETL processing, data warehousing, and data modeling. Familiarity with ETL tools and frame",4.6,"Technology Solutions Provider, Inc.",Remote,4.6,,,,,
Junior Data Scientist,USD 60K - USD 65K,4.0,DonorSearch,Remote,1 to 50 Employees,--,Company - Public,Accounting & Tax,Financial Services,Unknown / Non-Applicable
AI Data Engineer,USD 122K - USD 135K,4.3,University of Maryland,"College Park, MD",10000+ Employees,1856,College / University,Colleges & Universities,Education,$1 to $5 billion (USD)
RESEARCH DATA ANALYST II,USD 6K - USD 8K,4.4,State Teachers' Retirement System,"Yolo, CA",1001 to 5000 Employees,1913,Government,Investment & Asset Management,Financial Services,$10+ billion (USD)
Data Analytics and Culture Change Management Consultant,USD 89K - USD 134K ,4.1,Lockheed Martin Corporation,"Bethesda, MD",10000+ Employees,1995,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Clinical Data Coordinator - Entry Level (Science or Math Degree),USD 38K - USD 58K ,3.3,"Medpace, Inc.","Irving, TX",5001 to 10000 Employees,1992,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 billion (USD)
People Analytics Consultant,USD 82K - USD 114K ,4.1,Takeda Pharmaceutical,"Lexington, MA",10000+ Employees,1781,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
"Senior Associate - Data Scientist, Marketing Analytics",Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable ,4.0,Capital One,"McLean, VA",3.9,,,,,
Data Scientist,USD 104K - USD 142K ,3.7,Micron,"Manassas, VA",10000+ Employees,1978,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Junior Data Scientist,USD 40K - USD 60K,4.0,UST,"Bellevue, WA",10000+ Employees,1999,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Adjunct Faculty - Data Science and Analytics,USD 102K - USD 137K ,4.1,MCPHS,"Boston, MA",1001 to 5000 Employees,1823,College / University,Colleges & Universities,Education,Unknown / Non-Applicable
DATA SCIENCE MANAGER - DECISION ANALYTICS,USD 106K - USD 140K ,3.8,Home Depot / THD,"Atlanta, GA",10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD)
Data Science Systems Engineer,USD 96K - USD 127K ,3.8,Northern Trust Corp.,"Chicago, IL",10000+ Employees,1889,Company - Public,Banking & Lending,Financial Services,$5 to $10 billion (USD)
Data Scientist,USD 100K - USD 176K,4.0,Parsons,Remote,10000+ Employees,1944,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 billion (USD)
Early Career Environmental Scientist Data Manager,USD 53K - USD 73K ,4.4,EA Engineering Science and Technology,"Hunt Valley, MD",201 to 500 Employees,1972,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD)
"Staff Data Scientist, Product Analytics",USD 150K - USD 195K,4.4,Descript,Remote,51 to 200 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Operations Research Analyst,USD 98K - USD 232K,3.4,TikTok,"San Jose, CA",1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Artificial Intelligence Learning Specialist (Contractor) (Virtual),USD 40.00 - USD 50.00 Per Hour,3.2,"Stride, Inc.",Remote,5001 to 10000 Employees,1999,Company - Public,Primary & Secondary Schools,Education,$500 million to $1 billion (USD)
Product Analytics Senior Associate,USD 82K - USD 107K ,3.9,Athenahealth,"Boston, MA",5001 to 10000 Employees,1997,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist 2,USD 94K - USD 183K,4.3,Microsoft,"Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Product Data Analyst,USD 72K - USD 87K,4.0,"National Debt Relief, LLC.",United States,1001 to 5000 Employees,2009,Company - Private,Debt Relief,Financial Services,Unknown / Non-Applicable
"Data Scientist, Product Analytics",USD 109K - USD 171K,3.9,Facebook App,"San Francisco, CA",10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
Marketing Decision Scientist,USD 105K - USD 156K,3.9,Meta,"New York, NY",10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
"Data Scientist - Product, Marketing & Customer Analytics",USD 160K - USD 170K,4.0,Sony Electronics,California,10000+ Employees,1946,Subsidiary or Business Segment,Consumer Product Manufacturing,Manufacturing,$1 to $5 billion (USD)
Product Growth Analyst,USD 105K - USD 156K,3.9,Meta,"San Francisco, CA",10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
